Max,Tiempo (s),Cantidad Pares,Numero1,Numero2
100000,0.0587,13,220,284
100000,0.0587,13,1184,1210
100000,0.0587,13,2620,2924
100000,0.0587,13,5020,5564
100000,0.0587,13,6232,6368
100000,0.0587,13,10744,10856
100000,0.0587,13,12285,14595
100000,0.0587,13,17296,18416
100000,0.0587,13,63020,76084
100000,0.0587,13,66928,66992
100000,0.0587,13,67095,71145
100000,0.0587,13,69615,87633
100000,0.0587,13,79750,88730
150000,0.0994,16,220,284
150000,0.0994,16,1184,1210
150000,0.0994,16,2620,2924
150000,0.0994,16,5020,5564
150000,0.0994,16,6232,6368
150000,0.0994,16,10744,10856
150000,0.0994,16,12285,14595
150000,0.0994,16,17296,18416
150000,0.0994,16,63020,76084
150000,0.0994,16,66928,66992
150000,0.0994,16,67095,71145
150000,0.0994,16,69615,87633
150000,0.0994,16,79750,88730
150000,0.0994,16,100485,124155
150000,0.0994,16,122265,139815
150000,0.0994,16,122368,123152
200000,0.1250,20,220,284
200000,0.1250,20,1184,1210
200000,0.1250,20,2620,2924
200000,0.1250,20,5020,5564
200000,0.1250,20,6232,6368
200000,0.1250,20,10744,10856
200000,0.1250,20,12285,14595
200000,0.1250,20,17296,18416
200000,0.1250,20,63020,76084
200000,0.1250,20,66928,66992
200000,0.1250,20,67095,71145
200000,0.1250,20,69615,87633
200000,0.1250,20,79750,88730
200000,0.1250,20,100485,124155
200000,0.1250,20,122265,139815
200000,0.1250,20,122368,123152
200000,0.1250,20,141664,153176
200000,0.1250,20,142310,168730
200000,0.1250,20,171856,176336
200000,0.1250,20,176272,180848
250000,0.2176,22,220,284
250000,0.2176,22,1184,1210
250000,0.2176,22,2620,2924
250000,0.2176,22,5020,5564
250000,0.2176,22,6232,6368
250000,0.2176,22,10744,10856
250000,0.2176,22,12285,14595
250000,0.2176,22,17296,18416
250000,0.2176,22,63020,76084
250000,0.2176,22,66928,66992
250000,0.2176,22,67095,71145
250000,0.2176,22,69615,87633
250000,0.2176,22,79750,88730
250000,0.2176,22,100485,124155
250000,0.2176,22,122265,139815
250000,0.2176,22,122368,123152
250000,0.2176,22,141664,153176
250000,0.2176,22,142310,168730
250000,0.2176,22,171856,176336
250000,0.2176,22,176272,180848
250000,0.2176,22,185368,203432
250000,0.2176,22,196724,202444
